C:/Users/RDNRCLabPC20LSN/Documents/past scan projects/Barista_small_pore\Mex-2\annotated image\High mag\2_Mex-2_annotated image_3500x_0_0.tif,0.5992764802206131,0.778492359887986,0.7770146983010427,0.5866104733376276,0.40522751354035874,0.5569795937765213,0.3703189350309826,0.4085781347183954,0.46594811053503127,0.6684489250183107,0.4624092522121611,0.5999353102275303,0.7406002226329985,0.4650445722398304,0.4673740069071452,0.5875916594550723,0.3921262082599459,0.8251998779319583,0.6667759673936026,0.4055522226151966,0.5497042281287058,0.6730419113522484,0.6303403150467646,2.963631490866343,4.471700435593014,5.450858297802153,2.4723725432441346,4.2419146469661175,3.4954578961644853,3.000650678362166,3.087000939108077,4.4120527903238935,3.1291648830686296,3.022448539733887,3.2709603948252544,3.4348878888856795,2.111070167450678,3.4774224247251238,3.087093881198338,2.9093038979030794,1.6216747675623215,1.7596831832613264,2.2131805831477758,1.0927166257585799,2.5627522553716386,2.0683079823142005,0.9975533371879941,4.238512260573251,2.1541764736175537
C:/Users/RDNRCLabPC20LSN/Documents/past scan projects/Barista_small_pore\Mex-2\annotated image\High mag\2_Mex-2_annotated image_3500x_0_1.tif,0.6524875916185834,0.558669022151402,0.45369151944205877,0.4625504300707863,0.5434406371343703,0.3859096765518189,0.57179856300354,0.7213529745737711,0.4669387085097177,0.49361897082555867,0.5470689081010364,0.43020187673114596,0.4869459640412104,0.6727172022774105,0.7890218751771109,2.7198055641991754,2.1065854174750194,3.0638383584363122,2.701537149293082,4.843240559101106,4.126911163330078,3.590702362003781,3.749330980437143,4.158271471659343,4.852847712380545,4.205215462616512,6.784534939697811,5.267981205667768,4.391662001609802,4.393302017734164,4.637537360191345,3.0123825584139143,1.4791486603873116,2.2367302264486044,4.23867226214636,2.6404706665447786,5.340631331716265,1.1417406371661596,2.180350848606655,2.5785077043942044,2.2082405345780507,1.647409138225374
C:/Users/RDNRCLabPC20LSN/Documents/past scan projects/Barista_small_pore\Mex-2\annotated image\High mag\2_Mex-2_annotated image_3500x_0_2.tif,0.7660957674185435,0.605683602037884,0.9304562069120861,0.8224786747069586,0.755518016361055,0.8094008990696498,0.8431047598520914,0.5878740151723225,2.505330514340174,1.831034473010472,3.653000621568589,5.837598570755551,1.5129066393488928,1.9191023977029893,2.3803081086703712,1.4819392760594685,2.442746369611649,9.160654771895635,3.1059693608965193,1.3084222759519304,1.6014580982072013,2.1406798703329906,1.5038641975039528,1.8213779074805123,2.2494644692965915,1.098737861428942,1.909367007868631,1.7146050930023196,2.1731860722814287,1.9676875812666754,3.076435541113218,2.9658950425329658,1.8847150007883708,3.265330927712577,1.6548868588038854,1.0331995700086867,2.6134562832968573,2.4646548203059604,1.8837032261348905,1.1790115918431965,1.4740415513515472,1.1108438628060475,1.405477347828093,2.5512392010007585,1.7073061977113997,5.744781187602452,1.6235030208315169,2.664826200121925,2.5714841059276035,1.0283795226187933,1.4934123300370716,1.1589855125972204,4.905499994754791,1.9861701159250171,2.187324446581659,1.314700572973206
C:/Users/RDNRCLabPC20LSN/Documents/past scan projects/Barista_small_pore\Mex-2\annotated image\High mag\2_Mex-2_annotated image_3500x_0_3.tif,0.8706156185695103,0.6969480287461054,0.582339843114217,0.8786156972249349,0.8054338012422835,3.031109801360539,4.879257383800689,3.869085099015917,1.7447065654255096,1.7513678073883054,3.096566915512085,2.187727391719818,2.361933810370309,2.859289288520813,2.3449124665487378,2.695458265997115,2.116954931191036,2.0507378095672246,2.7618977427482605,2.009791524637313,3.5057168205579123,2.7577824081693376,2.837392602648054,1.7407429970446087,2.319132213081632,1.4511307378609974,1.793217630613418,1.6328113476435344,2.35856907140641,2.388517601149423,2.0049514770507812,2.3967553292001997,1.8784631746155875,1.5921050650732858
C:/Users/RDNRCLabPC20LSN/Documents/past scan projects/Barista_small_pore\Mex-2\annotated image\High mag\2_Mex-2_annotated image_3500x_0_4.tif,0.7442049639565604,0.8991523697262719,2.2627798943292525,2.070952125958034,2.2505727154867987,1.8162143273012978,2.3201875175748548,2.304495598588671,2.280629481588091,3.14556269134794,2.405226000717708,2.2910201719829013,2.569895855018071,2.4862479737826755,2.648186036518642,3.579310485294887,5.2097806334495536,2.4071530784879416,1.609413470540728,2.2396596670150757,1.4360894135066442,2.0645614748909358,2.6514684217316766,1.9795959336417064,2.054568435464587,1.0664669559115456,2.6003761546952386,2.8953461136136736,1.2755419526781355,1.3462532361348472,1.8430381204400745
C:/Users/RDNRCLabPC20LSN/Documents/past scan projects/Barista_small_pore\Mex-2\annotated image\High mag\2_Mex-2_annotated image_3500x_0_5.tif,2.3869999391692023,2.1317950770968483,2.642828336783818,2.417359061184384,2.1667230675617857,1.9062799186933608,2.296521402540661,3.769385295254844,4.423103487207777,3.1388567430632452,1.8869244342758542,2.136423357895443,2.959027916193008,3.2087862541278205,3.3028983558927263,5.748752991358439,1.5239679245721727,5.072383988471259,3.0761525971548895,2.2404502630233765,2.993690609931946,1.3512485793658666,3.186845450174241,1.526132651737758,2.6701862528210594,1.5906932864870345,2.3763339519500732,4.797096576009478,1.4995841554233007,2.4964621918542043,1.8941127402441842,1.5368151097070604
C:/Users/RDNRCLabPC20LSN/Documents/past scan projects/Barista_small_pore\Mex-2\annotated image\High mag\2_Mex-2_annotated image_3500x_0_6.tif,0.5673514604568481,3.4079723301387967,1.4511883854866026,3.5893529369717556,2.441254590238844,1.8326615478311268,2.2097723143441335,2.9489560524622602,2.202379300480797,1.4334364462466467,3.09137157031468,2.659777915193921
C:/Users/RDNRCLabPC20LSN/Documents/past scan projects/Barista_small_pore\Mex-2\annotated image\High mag\2_Mex-2_annotated image_3500x_0_7.tif,0.7213247390020462,0.5852575188591367,0.5850975172860282,2.9786057557378496,5.902173323290689,3.536663007168543,3.8422966003417973,2.6829346134549095,4.240559339523315,1.5874320779527937,1.3083163925579615,3.1630899224962508,3.6884221462976368
C:/Users/RDNRCLabPC20LSN/Documents/past scan projects/Barista_small_pore\Mex-2\annotated image\High mag\2_Mex-2_annotated image_3500x_0_8.tif,0.649425208568573,2.8264513186046054,2.8201406683240613,3.476464768250783,2.8070181863648553,2.2150664840425764,3.2937076772962297,6.9623084522428975,1.8262767791748047,3.281509910311018,2.151317621980395,3.4165888854435513,1.819836715857188,1.4850922482354303,9.805083460751034,4.745637246540614,7.4714005163737705,3.170064108712333,2.4431040201868335,2.359359667414711,1.5650130340031216,2.0355635427293324,1.7344570528893244,3.479885978358132
C:/Users/RDNRCLabPC20LSN/Documents/past scan projects/Barista_small_pore\Mex-2\annotated image\High mag\2_Mex-2_annotated image_3500x_10_0.tif,2.5187682935169766,1.6556351014545985,3.1877254588263377,2.5123164653778076,3.581286975315639,2.1147925569897605,3.9223867995398387,3.6308592274075466,2.5378237749849046,2.1109478133065362,3.335270438875471,3.5545925952139354,3.8001655978815903,7.106015747501736,1.7194239639100575,3.6702337321780973,4.628120797021048,5.291044961838495,2.78587444907143,3.371369617325919,7.071530702568236,3.0093001751672652,4.050590412957328,3.2758416192872186,2.551225083214896,2.8377561356340135,2.4135060821260725
